NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Liperin Ykkösasema;Kuusikkolantie 1;83100;Liperi;Liperi;25.04.2003;Vähittäismyyntilupa/max. 5.5 %;0520236-5
Liperin lava;Liperintie 119;83100;Liperi;Liperi;01.06.2019;Anniskelu A, kaikki alkoholijuomat;1080342-1
Lissus Bar;Keskustie 4;85200;Alavieska;Alavieska;01.11.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Little Big Cafe 2 nd;Tyynenmerenkatu 11, 2. krs;00220;Helsinki;Helsinki;09.04.2020;Ann.lupa sis. vähittäismyynnin;2472932-2
Little Dragon II;Valtakatu 11-13;94100;Kemi;Kemi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1473190-4
Little Hong Kong;Toinen Linja 11;00530;Helsinki;Helsinki;02.07.2013;Anniskelu A, kaikki alkoholijuomat;N/A
Littlepub;Hovioikeudenpuistikko 17 a;65100;Vaasa;Vaasa;03.11.2021;Ann.lupa sis. vähittäismyynnin;2681844-1
Live Louder Oy;ei toimipaikkaa;05800;Hyvinkää;Hyvinkää;21.08.2020;Anniskelulupa ilman toimipaikkaa;3104376-7
Livonsaaren Osuuskauppa;Velkuantie 988;21180;Livonsaari;Naantali;02.05.2019;Vähittäismyyntilupa/max. 5.5 %;2990600-9
Livonsaaren Osuusvoima;Velkuantie 988;21180;Livonsaari;Naantali;05.11.2021;Anniskelu A, kaikki alkoholijuomat;2990599-7
Lobby Grilli Cafeteria;Koivumankkaantie 3;02200;Espoo;Espoo;18.09.2002;Anniskelu A, kaikki alkoholijuomat;0433249-1
Local Bistro;Kauppakatu 32;80100;Joensuu;Joensuu;15.05.2021;Anniskelu A, kaikki alkoholijuomat;2685433-8
Local Breakfast & Lunch;Torikatu 16;80100;Joensuu;Joensuu;23.11.2015;Anniskelu A, kaikki alkoholijuomat;2685433-8
Locanda Scappi;Kanavakatu 1;00160;Helsinki;Helsinki;01.08.2019;Anniskelu A, kaikki alkoholijuomat;2818350-7
LocosCocos;Ollilanojankatu 2;84100;Ylivieska;Ylivieska;20.05.2019;Anniskelu A, kaikki alkoholijuomat;2981890-6
Loft Cafe & Snacks Shop;Napapiirin Pajakylä;96930;Napapiiri Rovaniemi;Rovaniemi;16.10.2018;Ann.lupa sis. vähittäismyynnin;2934067-4
Logomo;Junakatu 9;20100;Turku;Turku;01.03.2023;Anniskelu A, kaikki alkoholijuomat;2414926-4
Lohestajan Maja;Torniontie 4131;95950;Kihlanki;Muonio;10.06.2022;Vähittäismyyntilupa/max. 5.5 %;3226307-5
Lohijärven Kuohun Urheilutalo;Lohijärvi;95680;Lohijärvi;Ylitornio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0193809-2
Lohikosken Pizzeria;Turotie 2-4;40250;Jyväskylä;Jyväskylä;05.04.2022;Anniskelu A, kaikki alkoholijuomat;2937416-1
Lohilaakso;Tahkokorvantie 39;85100;Kalajoki;Kalajoki;15.06.2007;Anniskelu A, kaikki alkoholijuomat;0802708-0
Lohilahden Vanha Unska;Lohilahdentie 1636;58620;Lohilahti;Sulkava;05.04.2023;Ann.lupa sis. vähittäismyynnin;3330575-9
Lohimesta;Seestantie 126;15460;Mäkelä;Lahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1004373-3
Lohinivan kyläkauppa;Kittiläntie 9255;97420;Lohiniva;Rovaniemi;01.07.2021;Vähittäismyyntilupa/max. 5.5 %;3217549-7
Lohionginta Korpikeidas;Vesikkolantie 415;54100;Joutseno;Lappeenranta;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0938867-0
Lohirannan Lomakylä;Kajaanintie 1619;74340;Sukeva;Sonkajärvi;01.06.1995;Anniskelu A, kaikki alkoholijuomat;0879690-4
Lohja Spa & Resort;Ylhäntie 1;09120;Karjalohja;Lohja;01.01.2020;Anniskelu A, kaikki alkoholijuomat;2495467-7
Lohjan Aseman Pizza-Kebab;Mäntynummentie 14;08500;Lohja;Lohja;13.07.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Lohjan Pandora;Kartanonkuja 1;08200;Lohja;Lohja;29.01.2008;Anniskelu A, kaikki alkoholijuomat;2164179-8
Loi Loi;Konepajankuja 1;00510;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2773866-2
Loimaan Keilahalli;Kartanomäenkatu 2 B;32200;Loimaa;Loimaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2416766-5
Loimaan Panimo;Linjakatu 2 B 4;32200;Loimaa;Loimaa;15.05.2019;Käsityöläisoluen vähittäismyynti/max 12.0%;2944797-3
Loimaan Seurahuone;Satakunnantie 24-26;32200;Loimaa;Loimaa;01.01.1960;Anniskelu A, kaikki alkoholijuomat;0847170-4
Loimaan Tornikahvila;Satakunnantie 14;32200;Loimaa;Loimaa;09.05.2005;Anniskelu A, kaikki alkoholijuomat;N/A
Loimijoki Golf Club;Jaakkolantie 190;32100;Ypäjä;Ypäjä;01.05.2018;Ann.lupa sis. vähittäismyynnin;1762839-8
Loimiranta;Satakunnantie 1;32200;Loimaa;Loimaa;26.09.2022;Anniskelu A, kaikki alkoholijuomat;2844946-7
Loimu-aitio;Kisakatu 4;21200;Raisio;Raisio;01.09.2022;Määräaikainen A, kaikki alkoholijuomat;0138288-0
Loisto Catering -siirtolupa;Energiakatu 3;00180;Helsinki;Helsinki;19.10.2020;Anniskelulupa ilman toimipaikkaa;2087515-4
Lokal Food & Bar;Pukinmäenkaari 18;00780;Helsinki;Helsinki;29.04.2020;Ann.lupa sis. vähittäismyynnin;3015362-2
Lokal Naples;Huopalahdentie 19 LH 3;00330;Helsinki;Helsinki;01.09.2020;Anniskelu A, kaikki alkoholijuomat;3149108-4
Lokkilinna;Matkailutie 199;85100;Kalajoki;Kalajoki;01.05.1995;Anniskelu A, kaikki alkoholijuomat;0992813-9
Lokkipub;Vanha Helsingintie 2;28400;Ulvila;Ulvila;01.05.2022;Anniskelu A, kaikki alkoholijuomat;1004284-5
Lokstallet - United Gypsies Taproom;Ruukinkatu 13;10360;Mustio;Raasepori;02.04.2020;Ann.lupa sis. vähittäismyynnin;2751184-7
Lola;Keilaniementie 1;02150;Espoo;Espoo;27.04.2022;Anniskelu A, kaikki alkoholijuomat;2112598-8
Lola;Yliopistonkatu 36;40100;Jyväskylä;Jyväskylä;01.03.2023;Anniskelu A, kaikki alkoholijuomat;2885726-8
LoloŽs Seaside Café;Snäckövägen 102;22340;Geta;Geta;17.11.2021;Anniskelu A, kaikki alkoholijuomat;3242147-5
Loma RA-Iso;Hietaluomantie 272;39930;Karvia;Karvia;01.04.2004;Anniskelu A, kaikki alkoholijuomat;1875690-6
Loma- ja kokoushotelli Marjola;Mikonsaarentie 15;53300;Lappeenranta;Lappeenranta;25.05.1992;Anniskelu A, kaikki alkoholijuomat;0212040-1
Loma- ja kurssikeskus Koivupuisto;Petäjäntie 137;33480;Ylöjärvi;Ylöjärvi;01.12.2006;Anniskelu A, kaikki alkoholijuomat;N/A
Loma- ja kurssikeskus Lepola;Sipurantie 32;15320;Lahti;Lahti;03.07.2019;Anniskelu A, kaikki alkoholijuomat;1701099-3
Loma-Vietonen;Kuusirannantie 59;95675;Meltosjärvi;Ylitornio;21.12.2002;Anniskelu A, kaikki alkoholijuomat;1571733-8
Loma-Ässä;Järvitie 36;41900;Petäjävesi;Petäjävesi;30.01.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Lomahotelli Jämi;Jämintie 659;38800;Jämijärvi;Jämijärvi;26.05.2020;Ann.lupa sis. vähittäismyynnin;3089387-4
Lomakeidas Jokikumpu;Koskimyllyntie 450;15820;Lahti;Hollola;09.06.2009;Anniskelu A, kaikki alkoholijuomat;N/A
Lomakeskus Himmerki;Himmerki 8;97900;Posio;Posio;31.12.2018;Ann.lupa sis. vähittäismyynnin;1591727-6
Lomakeskus Karemajat;Karemajojentie 219;95600;Ylitornio;Ylitornio;01.11.2013;Anniskelu A, kaikki alkoholijuomat;2572123-4
Lomakeskus Karvio;Takunlahdentie 2;79810;Karvionkanava;Heinävesi;10.04.2019;Anniskelu A, kaikki alkoholijuomat;2919014-3
Lomakeskus Revontuli;Revontulentie 1;41500;Hankasalmi As;Hankasalmi;08.06.2018;Ann.lupa sis. vähittäismyynnin;0927037-3
Lomakeskus Seita;Tiurajärventie 36;95970;Äkäslompolo;Kolari;30.01.2002;Anniskelu A, kaikki alkoholijuomat;0918164-5
Lomakivi;Lomakiventie 4 A;47400;Kausala;Iitti;24.02.2020;Anniskelu A, kaikki alkoholijuomat;2445264-2
Lomakoti Kotoranta;Kotorannantie 74;05250;Kiljava;Nurmijärvi;28.11.1997;Anniskelu A, kaikki alkoholijuomat;0201637-2
Lomakylä Inari;Inarintie 26;99870;Inari;Inari;01.04.2016;Anniskelu A, kaikki alkoholijuomat;2702265-6
Lomakylä Kultahiekat;Manamansalontie 3881;88340;Manamansalo;Vaala;01.05.2014;Anniskelu A, kaikki alkoholijuomat;0564117-3
Lomakylä Timitraniemi;Timitrantie 25;81720;Lieksa;Lieksa;10.05.2022;Ann.lupa sis. vähittäismyynnin;1100005-7
Lomamokkila;Mikonkiventie 209;57310;Savonlinna;Savonlinna;15.04.2019;Ann.lupa sis. vähittäismyynnin;N/A
Lomanauvo Spinkkilä;Pärnas;21660;Nauvo;PARAINEN;01.04.2017;Anniskelu A, kaikki alkoholijuomat;0135708-7
Lomanauvo Spinkkilä, myymälä;Saaristotie 5861;21670;Pärnäinen;PARAINEN;01.04.2017;Vähittäismyyntilupa/max. 5.5 %;0135708-7
Lomatila Ollila;Ruokolahdentie 506;58200;Kerimäki;Savonlinna;01.05.2019;Ann.lupa sis. vähittäismyynnin;1628278-6
Lomatrio;Kangasniementie 18;76850;Naarajärvi;Pieksämäki;07.11.2022;Ann.lupa sis. vähittäismyynnin;3310567-7
London;Puistokatu 2-4 / Kolmikulma;40100;Jyväskylä;Jyväskylä;01.01.2016;Anniskelu A, kaikki alkoholijuomat;1006136-8
Lone Star;Humalistonkatu 5;20100;Turku;Turku;15.12.2019;Anniskelu A, kaikki alkoholijuomat;3098692-3
Long Feng ravintola;Keskuskatu 10 C 28-29;60100;Seinäjoki;Seinäjoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2470163-7
Long Hua;Kauppakaari 8;04200;Kerava;Kerava;01.01.2008;Anniskelu A, kaikki alkoholijuomat;1992851-1
Long Hua;Lehdokkitie 6 / Tikkuraitti 15;01300;Vantaa;Vantaa;01.11.2014;Anniskelu A, kaikki alkoholijuomat;2546003-8
Long Noodle;Annankatu 6;00120;Helsinki;Helsinki;26.08.2020;Anniskelu A, kaikki alkoholijuomat;3122028-4
Long Teng Ravintola;Vilhonkatu 11-13;24240;Salo;Salo;06.05.2021;Anniskelu A, kaikki alkoholijuomat;3187272-5
Lopen grilli pizzeria;Viertotie 3;12700;Loppi;Loppi;08.05.2019;Anniskelu A, kaikki alkoholijuomat;2962439-4
Lopenkulman Nuorisoseurantalo;Stormintie 127;38220;Sastamala;Sastamala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0197774-5
Lopez y Lopez Kortteli;Urho Kekkosen katu 1, 5.krs;00100;Helsinki;Helsinki;12.01.2023;Määräaikainen A, kaikki alkoholijuomat;3020300-1
Lopez y Lopez Siltasaari;Siltasaarenkatu 10;00530;Helsinki;Helsinki;08.02.2023;Määräaikainen A, kaikki alkoholijuomat;3141489-8
Lopez y Lopez, Lentokenttä;Lentoasemantie 1;01530;Vantaa;Vantaa;30.06.2022;Anniskelu A, kaikki alkoholijuomat;2985185-3
Lorem Ipsum;Vilhonvuorenkatu 7-9 LH 207;00500;Helsinki;Helsinki;01.05.2021;Anniskelu A, kaikki alkoholijuomat;3196720-6
Lorin;Varikkotie 4;00900;Helsinki;Helsinki;11.05.2018;Anniskelu A, kaikki alkoholijuomat;1932310-9
Los Pollos;Aleksanterinkatu 20;33100;Tampere;Tampere;25.04.2023;Anniskelu A, kaikki alkoholijuomat;2728157-8
Lossi Kioski Ihme Tupa;Puutossalmentie 1300;70870;Hiltulanlahti;Kuopio;17.04.2015;Vähittäismyyntilupa/max. 5.5 %;N/A
Lossi Kioski Ihme Tupa;Puutossalmentie 1300;70870;Hiltulanlahti;Kuopio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Lossi-Baari;Lossitie 2;94500;Lautiosaari;Keminmaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1983275-5
Lossiranta;Kokkilantie 879;25230;Angelniemi;Salo;23.04.2018;Ann.lupa sis. vähittäismyynnin;2403900-6
Lost Tacos;Leviraitti 1;99130;Sirkka;Kittilä;01.06.2021;Anniskelu A, kaikki alkoholijuomat;3196267-5
Lost Tacos;Tampellan Esplanadi 4;33100;Tampere;Tampere;01.07.2022;Anniskelu A, kaikki alkoholijuomat;3288620-5
Lost in Lounge Levi;Postintie 3b;99130;Sirkka;Kittilä;08.12.2021;Anniskelu A, kaikki alkoholijuomat;0822551-1
Lottakanttiini;Rantatie 39;04310;Tuusula;Tuusula;03.09.1999;Anniskelu A, kaikki alkoholijuomat;0113052-8
Lotus Garden;Rongankatu 5-7;33100;Tampere;Tampere;31.05.1986;Anniskelu A, kaikki alkoholijuomat;0863808-4
Louhenlinna;Kusnintie 95;23800;Laitila;Laitila;15.11.1999;Anniskelu A, kaikki alkoholijuomat;1001358-5
Lounaiskahvila Ydinportti;Olkiluodontie 8;27510;Eura;Eurajoki;26.03.2022;Anniskelu A, kaikki alkoholijuomat;2915603-3
Lounas & Bar Akseli;Koskentie 372;31500;Koski Tl;Koski tl;01.07.2019;Ann.lupa sis. vähittäismyynnin;1035058-1
Lounas Ravintola Einstein;Hirsimetsäntie 56;15200;Lahti;Lahti;07.01.2021;Anniskelu A, kaikki alkoholijuomat;N/A
Lounas Ravintola Einstein;Ajokatu 55;15500;Lahti;Lahti;05.08.2019;Anniskelu A, kaikki alkoholijuomat;2313473-0
Lounas ravintola Kesonkulma;Kesontie 2;37470;Vesilahti;Vesilahti;01.01.2021;Anniskelu A, kaikki alkoholijuomat;2791743-3
Lounas- ja tilausravintola Koski;Kirkkokatu 10;33100;Tampere;Tampere;15.08.2022;Anniskelu A, kaikki alkoholijuomat;3021011-3
Lounas-Express;Rengastie 21;60120;Seinäjoki;Seinäjoki;01.06.2018;Anniskelu A, kaikki alkoholijuomat;2905033-5
Lounas-Kahvila Neljä Kaesaa;Koulukatu 3;88900;Kuhmo;Kuhmo;19.11.2008;Anniskelu A, kaikki alkoholijuomat;0709167-0
Lounas-Ravintola Silta;Urheilutie 3;72210;Tervo;Tervo;01.07.2018;Anniskelu A, kaikki alkoholijuomat;2914286-2
Lounas-ja tilausravintola Mamas;Salorankatu 5-7;24240;Salo;Salo;25.09.2014;Anniskelu A, kaikki alkoholijuomat;1754817-9
Lounas-kahvila Potukka;Jylpyntie 7;48220;Kotka;Kotka;01.06.2021;Ann.lupa sis. vähittäismyynnin;2619853-7
Lounas-kahvila Seijan tupa;Patenttikatu 10;21100;Naantali;Naantali;25.04.2022;Anniskelu A, kaikki alkoholijuomat;2799045-4
Lounashuone Eagle;Kyminlinnantie 6;48600;Kotka;Kotka;24.10.2017;Anniskelu A, kaikki alkoholijuomat;2339916-5
Lounashuone Kerho;Kadettikoulunkatu 3;49400;Hamina;Hamina;23.01.2018;Anniskelu A, kaikki alkoholijuomat;2339916-5
Lounaskahvila Kotoosa;Kauppatie 3 D;66300;Jurva;Kurikka;01.10.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Lounaskahvila Militaria;Vanhankaupunginkatu 19;13100;Hämeenlinna;Hämeenlinna;23.04.2021;Anniskelu A, kaikki alkoholijuomat;2071187-0
Lounaskahvila Mäyrä;Ponsantie 1269;36340;Tohkala;Kangasala;15.04.2022;Ann.lupa sis. vähittäismyynnin;3176104-8
Lounaskahvila Nyymanni;Revontie 14;90830;Haukipudas;Oulu;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2710438-7
Lounaskahvila Omeletti;Suomalaistentie 2;02270;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2458498-7
Lounaskahvila Piano;Suodenniementie 17;38510;Sastamala;Sastamala;01.06.2020;Anniskelu A, kaikki alkoholijuomat;3127669-1
Lounaskahvila Pöytäliina;Klaneettitie 5;00420;Helsinki;Helsinki;31.01.2023;Anniskelu A, kaikki alkoholijuomat;N/A
Lounaskahvila Rauhala;Metsolantie 2;69100;Kannus;Kannus;03.11.2012;Anniskelu A, kaikki alkoholijuomat;2341629-5
Lounaskahvila Sara;Kolmitähkäntie 3;58300;Savonranta;Savonlinna;21.07.2020;Luovutuspaikka;1505551-4
Lounaskahvila Someron Toritupa;Joensuuntie 10;31400;Somero;Somero;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Lounaskahvila Tupa;Kuusitie 1;72300;Vesanto;Vesanto;12.07.2019;Anniskelu A, kaikki alkoholijuomat;2997707-7
Lounaskahvila Violetta;Keskustie 8;07600;Myrskylä;Myrskylä;01.01.2022;Anniskelu A, kaikki alkoholijuomat;2835754-6
Lounaspiste ja Grillikioski Marenki;Puistokatu 5;38200;Sastamala;Sastamala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Lounasravintola CaWa;Kaartokatu 9;70620;Kuopio;Kuopio;18.03.2019;Anniskelu A, kaikki alkoholijuomat;2631814-8
Lounasravintola Eräjärvi Oy;Eräjärventie 1589;35220;Eräjärvi;Orivesi;01.06.2007;Anniskelu A, kaikki alkoholijuomat;2028273-8
Lounasravintola Fellmanni;Koivulanmäentie 2;07970;Ruotsinpyhtää;Loviisa;27.05.2022;Ann.lupa sis. vähittäismyynnin;3249108-6
Lounasravintola Gomee;Radanvarsi 2;28100;Pori;Pori;24.07.2015;Anniskelu A, kaikki alkoholijuomat;2688045-6
Lounasravintola Helmi;Loukontie 6;66440;Tervajoki;Vaasa;05.07.2021;Anniskelu A, kaikki alkoholijuomat;2605245-8
Lounasravintola Hovitar;Sahakuja 2;63700;Ähtäri;Ähtäri;25.06.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Lounasravintola Ihme;Kajaanintie 1184;91740;Jaalanka;Vaala;18.10.2022;Ann.lupa sis. vähittäismyynnin;2598248-5
Lounasravintola Julia;Erätie 3;00730;Helsinki;Helsinki;01.08.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Lounasravintola Kapteeninkulma;Kapteeninkatu 3;53600;Lappeenranta;Lappeenranta;01.07.1999;Anniskelu A, kaikki alkoholijuomat;1082668-2
Lounasravintola Kristiina;Kymenraitti 10;53100;Lappeenranta;Lappeenranta;13.01.2006;Anniskelu A, kaikki alkoholijuomat;0225914-7
Lounasravintola Loukku;Kärköläntie 1613;03850;Pusula;Lohja;15.06.2007;Vähittäismyyntilupa/max. 5.5 %;1953894-3
Lounasravintola Maukas ja Majoitus;Koivuhaantie 1;67800;Kokkola;Kokkola;15.04.2021;Anniskelu A, kaikki alkoholijuomat;0662813-0
Lounasravintola Metropol Turku;Puutarhakatu 10;20100;Turku;Turku;06.06.2017;Anniskelu A, kaikki alkoholijuomat;2730474-1
Lounasravintola Minna;Elotie 9;33470;Ylöjärvi;Ylöjärvi;28.09.2022;Määräaikainen A, kaikki alkoholijuomat;2853548-8
Lounasravintola Mänty;Seisakekatu 2;15700;Lahti;Lahti;15.05.2008;Anniskelu A, kaikki alkoholijuomat;1655041-0
Lounasravintola Pikantti;Koulutie 1;14200;Turenki;Janakkala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2156240-8
Lounasravintola Wanha Asema;Laurintie 28;61300;Kurikka;Kurikka;26.01.2016;Anniskelu A, kaikki alkoholijuomat;2729331-7
Lova;Jäämerentie 11;99600;Sodankylä;Sodankylä;10.06.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Loviisa Camping;Kapteenintie 1;07900;Loviisa;Loviisa;17.06.2020;Anniskelu A, kaikki alkoholijuomat;0203263-9
Loviisan Seurahuone;Kuningattarenkatu 24;07900;Loviisa;Loviisa;01.09.2020;Anniskelu A, kaikki alkoholijuomat;3131067-7
Loviisan keilahallin kahvio;Seppäläntie 19;07900;Loviisa;Loviisa;18.08.2021;Anniskelu A, kaikki alkoholijuomat;2832144-7
Luckiefun Turku;Skanssinkatu 10;20730;Turku;Turku;09.07.2018;Anniskelu A, kaikki alkoholijuomat;2869222-1
Luckiefuns Restaurant Kaivokatu;Kaivokatu 10;00100;Helsinki;Helsinki;01.10.2021;Anniskelu A, kaikki alkoholijuomat;3213884-8
Luckiefuns Sushibuffet;Brahenkatu 5;53100;Lappeenranta;Lappeenranta;03.06.2021;Anniskelu A, kaikki alkoholijuomat;2972892-7
Luckiefuns Sushibuffet;Lönnrotinkatu 2;00100;Helsinki;Helsinki;10.08.2020;Anniskelu A, kaikki alkoholijuomat;3127709-6
Luckiefuns Sushibuffet Itis;Itäkatu 1-5;00930;Helsinki;Helsinki;13.07.2020;Anniskelu A, kaikki alkoholijuomat;3001833-2
Luckiefuns Sushibuffet Joensuu;Koskikatu 9;80100;Joensuu;Joensuu;10.02.2023;Anniskelu A, kaikki alkoholijuomat;3208781-7
Luckiefuns Sushibuffet Jyväskylä;Kauppakatu 22;40100;Jyväskylä;Jyväskylä;02.12.2022;Anniskelu A, kaikki alkoholijuomat;3242839-4
Luckiefuns Sushibuffet Salo;Vilhonkatu 8;24100;Salo;Salo;12.04.2023;Anniskelu A, kaikki alkoholijuomat;3242832-7
LuckiefunŽs Kerava;Kauppakaari 10;04200;Kerava;Kerava;01.05.2022;Anniskelu A, kaikki alkoholijuomat;2911541-8
LuckiefunŽs Restaurant REDI;Kyläsaarenkatu 25 LT 2B-U04;00580;Helsinki;Helsinki;20.09.2018;Anniskelu A, kaikki alkoholijuomat;2786204-9
LuckiefunŽs Sushibuffet;Kiviaidankatu 9;00210;Helsinki;Helsinki;17.11.2022;Anniskelu A, kaikki alkoholijuomat;3319635-3
LuckiefunŽs Sushibuffet;Kauppiaankatu 2;15160;Lahti;Lahti;03.07.2019;Anniskelu A, kaikki alkoholijuomat;2988023-2
LuckiefunŽs Sushibuffet Hämeenkatu;Hämeenkatu 26;33200;Tampere;Tampere;17.07.2020;Anniskelu A, kaikki alkoholijuomat;3125221-9
LuckiefunŽs Sushibuffet Iso Omena;Piispansilta 11 LT LG-152;02230;Espoo;Espoo;01.12.2020;Anniskelu A, kaikki alkoholijuomat;3159106-9
LuckiefunŽs Sushibuffet Koskikeskus;Hatanpään valtatie 1;33100;Tampere;Tampere;29.10.2020;Anniskelu A, kaikki alkoholijuomat;3160103-6
LuckiefunŽs Sushibuffet Leppävaara;Leppävaarankatu 12;02600;Espoo;Espoo;02.01.2019;Anniskelu A, kaikki alkoholijuomat;2934884-4
LuckiefunŽs Sushibuffet Myyrmanni;Iskoskuja 3 A 1 LT F1-49;01600;Vantaa;Vantaa;28.12.2018;Anniskelu A, kaikki alkoholijuomat;2943500-8
LuckiefunŽs Sushibuffet Tripla;Firdonkatu 2 B 2062;00520;Helsinki;Helsinki;17.10.2019;Anniskelu A, kaikki alkoholijuomat;2871144-5
Luckiesfuns Sushibuffet Matkus;Matkuksentie 60;70800;Kuopio;Kuopio;23.06.2021;Anniskelu A, kaikki alkoholijuomat;2972884-7
Lucky;Gummeruksenkatu 7;40100;Jyväskylä;Jyväskylä;15.06.2020;Ann.lupa sis. vähittäismyynnin;2382967-1
Lucky Lady;Kirkonkyläntie 5;00700;Helsinki;Helsinki;01.02.2021;Anniskelu A, kaikki alkoholijuomat;1926497-0
Lucky Monkeys;Valtakatu 42;53100;Lappeenranta;Lappeenranta;01.11.2008;Anniskelu A, kaikki alkoholijuomat;2217718-1
Lucky Pub;Erkylänkatu 12;05820;Hyvinkää;Hyvinkää;10.03.2004;Anniskelu A, kaikki alkoholijuomat;0891481-9
Lucky Ranch Saluuna;Oravanranta 20;98530;Pyhätunturi;Pelkosenniemi;01.12.2017;Anniskelu A, kaikki alkoholijuomat;2689283-6
Lucky Slevin Bar & Cafe;Kolmas linja 17 huone 7;00530;Helsinki;Helsinki;18.11.2022;Määräaikainen A, kaikki alkoholijuomat;3103012-2
Luckycat;Rantakatu 2-4;67100;Kokkola;Kokkola;29.11.2022;Anniskelu A, kaikki alkoholijuomat;2622646-2
Lucy in the Sky;Keilaniementie 1;02150;Espoo;Espoo;01.01.2020;Anniskelu A, kaikki alkoholijuomat;2940195-9
Ludvig Public House;Korkeavuorenkatu 30;00130;Helsinki;Helsinki;30.09.2021;Ann.lupa sis. vähittäismyynnin;2989124-9
Luhalahden Autohuollon Kahvio;Luhalahdentie 2325;39410;Luhalahti;Ikaalinen;08.05.2018;Ann.lupa sis. vähittäismyynnin;0240138-5
Luhangan kyläkauppa M-Market;Rantatie 1;19950;Luhanka;Luhanka;28.02.2019;Luovutuspaikka;1505551-4
Luhtikammari;Saimaantie 5;54100;Joutseno;Lappeenranta;24.06.1999;Anniskelu A, kaikki alkoholijuomat;0626963-3
Luhurikan Lava;Tiisijärventie 97;62165;Tiistenjoki;Lapua;09.06.2008;Anniskelu A, kaikki alkoholijuomat;1589341-1
Luigi Pizzeria Kallio;Siltasaarenkatu 11;00530;Helsinki;Helsinki;21.02.2020;Anniskelu A, kaikki alkoholijuomat;3111620-9
Luikon Baari;Huovilanpolku 1;73670;Luikonlahti;Kaavi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0207781-0
Luluthai;Ruusutarhantie 5;00300;Helsinki;Helsinki;25.04.2022;Anniskelu A, kaikki alkoholijuomat;N/A
LuluŽs;Pohjoisesplanadi 17;00170;Helsinki;Helsinki;26.07.2022;Anniskelu A, kaikki alkoholijuomat;3283665-4
LumiLinna;Lumilinnankatu 15;94100;Kemi;Kemi;15.10.2015;Anniskelu A, kaikki alkoholijuomat;0681239-2
Lumimaa;Kajaanintie 1;96400;Rovaniemi;Rovaniemi;30.10.2006;Anniskelu A, kaikki alkoholijuomat;2058329-0
Lunch Hub;Vanha Nurmijärventie 21, Rak4;01670;Vantaa;Vantaa;01.02.2022;Anniskelu A, kaikki alkoholijuomat;2112598-8
Lunch Time Vaalimaa;Rajahovintie 1;49930;Vaalimaa;Virolahti;28.10.2020;Anniskelu A, kaikki alkoholijuomat;1090195-3
Lunchrestaurang Julius;Wasaborgsgränden 4;65100;Vaasa;Vaasa;23.07.2019;Anniskelu A, kaikki alkoholijuomat;1801682-8
Lunchrestaurang Ossian;Topeliusgatan 20;00250;Helsinki;Helsinki;17.06.2020;Anniskelu A, kaikki alkoholijuomat;1801682-8
Lunchrestaurang Tallen;Mannerheimvägen 97;00280;Helsinki;Helsinki;01.09.2019;Anniskelu A, kaikki alkoholijuomat;1801682-8
Lungi Kortteliravintola;Korkeavuorenkatu 2 A;00140;Helsinki;Helsinki;28.04.2010;Anniskelu A, kaikki alkoholijuomat;2319732-8
Luomajärven Hevoskievari;Luomajärventie 34;39530;Kilvakkala;Ikaalinen;04.04.2007;Anniskelu A, kaikki alkoholijuomat;2099364-4
Luomupuoti Volter;Teemulantie 57;32200;Loimaa;Loimaa;06.07.2012;Vähittäismyyntilupa/max. 5.5 %;N/A
Luonetjärven kokous- ja juhlakeskus;Kerhotie 38;41160;Tikkakoski;Jyväskylä;16.01.2017;Anniskelu A, kaikki alkoholijuomat;2449777-9
Luostaritien Baari-Kahvio;Luostaritie 2749;71280;Kosula;Tuusniemi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2317214-7
Luostaritien Kyläkauppa;Luostaritie 2749;71280;Kosula;Tuusniemi;12.06.2010;Vähittäismyyntilupa/max. 5.5 %;2317214-7
