NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Söderkulla Pizzeria;Eriksnäsintie 3;01150;Söderkulla;Sipoo;02.11.2021;Anniskelu A, kaikki alkoholijuomat;N/A
Södra Altan WHA;Wiklöf Holding Arena;22100;Mariehamn;Maarianhamina;23.03.2022;Anniskelu A, kaikki alkoholijuomat;2154418-9
Södra Vallgrund Handelslag;Sommarösundvägen 263;65930;Södra Vallgrund;Mustasaari;10.06.2019;Luovutuspaikka;1505551-4
Södra Vallgrund Hlg;Sommarösundvägen 263;65930;Södra Vallgrund;Mustasaari;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0209187-4
Sörkan Rinkula;Kulmavuorenkatu 4 M 1;00500;Helsinki;Helsinki;08.02.2021;Anniskelu A, kaikki alkoholijuomat;3176012-5
Sörnäisten pikatukku;Vanha Talvitie 2-6;00580;Helsinki;Helsinki;01.02.2022;Vähittäismyyntilupa/max. 5.5 %;0116297-6
T.O.T Bar & Kitchen;Kamreerintie 3B;02770;Espoo;Espoo;26.05.2021;Anniskelu A, kaikki alkoholijuomat;2870107-9
T:mi Kioski ja Baari Tuulimylly;Ylänteentie 487;16900;Lammi;Hämeenlinna;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
T:mi Kioski ja Baari Tuulimylly;Ylänteentie 487;16900;Lammi;Hämeenlinna;03.01.2013;Vähittäismyyntilupa/max. 5.5 %;N/A
T:mi Sami  Lassila;Ruotsinkylä;07990;Ruotsinkylä;Loviisa;09.08.1993;Vähittäismyyntilupa/max. 5.5 %;N/A
T:mi Tero Kataja;Ojamonharjuntie 4;08100;Lohja;Lohja;16.12.2008;Vähittäismyyntilupa/max. 5.5 %;N/A
TAUKO.Nukari;Hämeentie 139;05450;Nukari;Nurmijärvi;16.03.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
TB Etappi elintarvikemyynti;Kuopiontie 66;79600;Joroinen;Joroinen;09.05.1995;Vähittäismyyntilupa/max. 5.5 %;0811548-6
TB Karankamäki;Motellintie 1;52720;Karankamäki;Mäntyharju;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0500057-9
TB-Etappi;Kuopiontie 66;79600;Joroinen;Joroinen;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0811548-6
TB-Huoltamo;Kiertotie 13;97700;Ranua;Ranua;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1645057-5
TB-Huoltamo;Kiertotie 13;97700;Ranua;Ranua;19.02.2001;Vähittäismyyntilupa/max. 5.5 %;1645057-5
TB-Jakelu J. Tuominen Oy;Raatetie 2;86600;Haapavesi;Haapavesi;01.04.2004;Vähittäismyyntilupa/max. 5.5 %;1504380-4
TB-Möttönen;Jyväskyläntie 631;69980;Möttönen;Perho;25.02.2003;Vähittäismyyntilupa/max. 5.5 %;1764646-5
